date,Country,deaths,confirmed_cases
2020-09-01,Portugal,2.0,231.0
2020-11-14,Portugal,55.0,6602.0
2020-07-02,Portugal,8.0,328.0
2020-05-23,Portugal,13.0,271.0
2020-05-31,Portugal,14.0,297.0
2020-04-09,Portugal,29.0,815.0
2020-06-01,Portugal,14.0,200.0
2020-06-07,Portugal,5.0,342.0
2020-03-11,Portugal,0.0,18.0
2020-01-30,Portugal,0.0,0.0
2020-08-23,Portugal,2.0,145.0
2020-03-13,Portugal,0.0,53.0
2020-09-11,Portugal,3.0,687.0
2020-04-10,Portugal,26.0,1516.0
2020-06-09,Portugal,7.0,421.0
2020-02-24,Portugal,0.0,0.0
2020-02-18,Portugal,0.0,0.0
2020-04-18,Portugal,30.0,663.0
2020-02-01,Portugal,0.0,0.0
2020-08-31,Portugal,3.0,244.0
2020-09-17,Portugal,10.0,770.0
2020-11-06,Portugal,52.0,5550.0
2020-07-08,Portugal,2.0,443.0
2020-02-07,Portugal,0.0,0.0
2020-08-15,Portugal,3.0,198.0
2020-07-28,Portugal,3.0,111.0
2020-03-04,Portugal,0.0,3.0
2020-06-05,Portugal,10.0,377.0
2020-10-08,Portugal,10.0,1278.0
2020-07-11,Portugal,8.0,542.0
2020-06-22,Portugal,4.0,259.0
2020-07-21,Portugal,6.0,127.0
2020-08-24,Portugal,5.0,123.0
2020-05-10,Portugal,9.0,175.0
2020-07-13,Portugal,2.0,306.0
2020-07-06,Portugal,6.0,232.0
2020-08-20,Portugal,2.0,291.0
2020-06-06,Portugal,9.0,382.0
2020-11-07,Portugal,56.0,6640.0
2020-10-24,Portugal,21.0,3669.0
2020-10-15,Portugal,11.0,2101.0
2020-11-15,Portugal,76.0,6035.0
2020-08-10,Portugal,3.0,157.0
2020-06-02,Portugal,12.0,195.0
2020-04-28,Portugal,20.0,295.0
2020-08-05,Portugal,1.0,167.0
2020-11-09,Portugal,63.0,4096.0
2020-10-04,Portugal,10.0,904.0
2020-03-03,Portugal,0.0,0.0
2020-04-12,Portugal,34.0,598.0
2020-09-12,Portugal,5.0,497.0
2020-04-23,Portugal,35.0,371.0
2020-07-25,Portugal,4.0,263.0
